symbol,position_id,side,lots,entry,exit,closed,sim_ccy,sim_acct,broker_profit,broker_commission,broker_swap,ticket,diff,abs_diff,rel
XAUUSD.a,310426390,buy,0.01,4036.9500000000003,4045.87,2026-07-29 17:13:15.600,8.919999999999618,12.84858262272358,12.87,0.0,0.0,273536260,-0.021417377276419458,0.021417377276419458,0.0016641318785096705
USDJPY.a,310450224,sell,0.01,163.654,163.469,2026-07-30 02:05:18.375,185.00000000000225,1.629693700703071,1.63,0.0,-0.49,273716282,-0.00030629929692893576,0.00030629929692893576,0.0001879136790975066
XAUUSD.a,310997998,sell,0.01,4088.27,4077.37,2026-07-30 02:35:18.369,10.900000000000091,15.663845258453577,15.66,0.0,0.0,273721865,0.003845258453576861,0.003845258453576861,0.00024554651683121717
USDJPY.a,311003556,sell,0.05,163.47,163.471,2026-07-30 05:17:13.640,-5.000000000023874,-0.04394504605075268,-0.04,0.0,0.0,273757016,-0.0039450460507526805,0.0039450460507526805,0.098626151268817
XAUUSD.a,311004390,buy,0.01,4077.28,4077.52,2026-07-30 10:25:19.945,0.23999999999978172,0.3451648161994214,0.34,0.0,0.0,273851319,0.005164816199421385,0.005164816199421385,0.015190635880651131
XAUUSD.a,311004502,buy,0.01,4075.2099999999996,4075.99,2026-07-30 02:38:54.009,0.7800000000002001,1.1208990184951213,1.12,0.0,0.0,273722476,0.0008990184951211955,0.0008990184951211955,0.0008026950849296387
XAUUSD.a,311007320,buy,0.01,4072.49,4072.51,2026-07-30 09:51:29.701,0.020000000000436557,0.02877615032723743,0.03,0.0,0.0,273838556,-0.0012238496727625704,0.0012238496727625704,0.04079498909208568
USDJPY.a,311040598,buy,0.05,163.472,163.609,2026-07-30 06:31:19.080,685.0000000000023,6.024882928153657,6.03,0.0,0.0,273778684,-0.005117071846343357,0.005117071846343357,0.0008486022962426794
USDJPY.a,311140278,buy,0.05,162.743,162.914,2026-07-30 12:07:41.898,854.9999999999615,7.512699991978074,7.52,0.0,0.0,273877599,-0.007300008021925208,0.007300008021925208,0.0009707457475964373
USDJPY.a,311260372,buy,0.02,159.739,160.519,2026-07-31 00:41:35.645,1560.0000000000023,13.910261232480325,13.83,0.0,0.06,274115173,0.0802612324803249,0.0802612324803249,0.00580341521911243
USDJPY.a,311628267,buy,0.02,158.889,159.892,2026-07-31 09:44:53.060,2005.9999999999718,17.768806103452135,17.85,0.0,0.0,274248528,-0.08119389654786602,0.08119389654786602,0.004548677677751597
USDJPY.a,312487931,buy,0.05,157.353,157.479,2026-08-04 01:20:42.355,630.0000000000239,5.727509806607053,5.71,0.0,0.0,274910856,0.017509806607052703,0.017509806607052703,0.003066516043266673
USDJPY.a,312488458,buy,0.05,157.375,157.481,2026-08-04 01:20:41.646,529.9999999999727,4.8183812658753435,4.8100000000000005,0.0,0.0,274910854,0.008381265875343047,0.008381265875343047,0.0017424669179507371
