i,side,reason,confluence,agreement,taken,quality
32260,1,retest,0.111,partial,True,82.23
32276,1,retest,0.111,partial,True,79.41
32336,-1,retest,-0.111,conflict,True,78.41
32375,-1,retest,-0.111,conflict,True,81.78
32417,-1,retest,0.111,partial,True,78.95
32456,1,retest,0.111,partial,True,78.78
32502,1,retest,0.111,partial,True,82.28
32518,-1,retest,-0.111,conflict,True,89.42
32533,-1,retest,0.111,partial,True,76.05
32553,-1,retest,0.333,partial,True,84.22
32580,1,retest,-0.333,conflict,True,88.14
32609,1,retest,0.111,partial,True,79.24
32624,1,retest,0.111,partial,True,86.56
32666,1,retest,0.556,partial,True,79.36
32736,-1,retest,-0.556,conflict,True,80.22
32832,1,retest,1.0,full,True,93.17
32861,-1,retest,-1.0,conflict,True,78.87
32895,-1,retest,-0.556,conflict,True,70.96
32905,1,retest,0.778,partial,True,92.46
32917,1,retest,1.0,full,True,93.79
33032,1,retest,1.0,full,True,72.05
33056,-1,retest,-1.0,conflict,True,77.55
33091,-1,retest,-0.556,conflict,True,79.81
33114,-1,retest,-0.556,conflict,True,97.66
33144,-1,retest,-0.556,conflict,True,85.06
33175,1,retest,0.556,partial,True,74.58
33192,1,retest,0.556,partial,True,73.3
33218,1,retest,0.556,partial,True,81.88
33289,-1,retest,-0.222,conflict,True,67.14
33356,-1,retest,0.111,partial,True,66.55
33471,1,retest,0.333,partial,True,76.78
33504,1,retest,0.333,partial,True,83.1
33545,1,retest,0.333,partial,True,64.04
33578,1,retest,1.0,full,True,78.92
33591,1,retest,1.0,full,True,72.37
33638,1,retest,1.0,full,True,93.47
33733,-1,retest,-1.0,conflict,True,76.69
33763,1,retest,1.0,full,True,89.83
33789,-1,retest,-1.0,conflict,True,73.94
33850,-1,retest,-0.556,conflict,True,76.47
33936,-1,retest,-0.556,conflict,True,83.56
33956,1,retest,0.556,partial,True,78.32
34004,1,retest,0.556,partial,True,78.4
34047,1,retest,1.0,full,True,85.51
34107,1,retest,1.0,full,True,66.39
34161,1,retest,1.0,full,True,94.11
34263,1,retest,1.0,full,True,78.66
34310,1,retest,1.0,full,True,81.79
34326,-1,retest,-1.0,conflict,True,80.25
34403,-1,retest,-0.556,conflict,True,83.5
34413,1,retest,0.778,partial,True,84.38
34441,1,retest,1.0,full,True,78.61
34460,1,retest,1.0,full,True,79.77
34469,1,retest,1.0,full,True,96.17
34544,-1,retest,-0.778,conflict,True,85.64
34587,-1,retest,-0.556,conflict,True,83.33
34617,1,retest,0.556,partial,True,82.02
34626,1,retest,0.556,partial,True,79.55
34776,1,retest,1.0,full,True,92.15
34809,-1,retest,-1.0,conflict,True,79.39
34848,-1,retest,-0.556,conflict,True,81.3
34862,-1,retest,-0.556,conflict,True,82.77
34883,-1,retest,-0.556,conflict,True,67.73
34964,-1,retest,-0.556,conflict,True,88.61
34978,-1,retest,-0.556,conflict,True,77.65
35005,-1,retest,-0.556,conflict,True,69.16
35023,1,retest,0.556,partial,True,92.64
35058,1,retest,0.556,partial,True,84.51
35109,1,retest,0.778,partial,True,71.53
35136,1,retest,1.0,full,True,68.99
35204,1,retest,1.0,full,True,89.84
35225,-1,retest,-1.0,conflict,True,94.15
35329,1,retest,0.556,partial,True,84.89
35439,-1,retest,0.111,partial,True,67.43
35451,-1,retest,0.111,partial,True,87.13
35535,1,retest,-0.111,conflict,True,72.81
35586,1,retest,0.111,partial,True,90.37
35663,-1,retest,-0.333,conflict,True,80.27
35687,1,retest,0.333,partial,True,97.3
35710,-1,retest,-0.333,conflict,True,80.02
35763,1,retest,0.333,partial,True,93.52
35781,1,retest,0.333,partial,True,74.75
35803,-1,retest,-0.333,conflict,True,95.7
35837,-1,retest,-0.111,conflict,True,78.37
35852,-1,retest,0.111,partial,True,81.79
35870,1,retest,-0.111,conflict,True,88.27
35919,1,retest,-0.111,conflict,True,94.5
35927,1,retest,0.111,partial,True,82.52
35954,-1,retest,-0.333,conflict,True,86.94
36016,-1,retest,0.111,partial,True,78.22
36055,1,retest,-0.111,conflict,True,83.25
36107,1,retest,-0.111,conflict,True,74.94
36119,1,retest,-0.111,conflict,True,74.57
36132,1,retest,-0.111,conflict,True,79.6
36226,1,retest,-0.111,conflict,True,80.12
36249,-1,retest,0.111,partial,True,76.43
36257,-1,retest,0.111,partial,True,94.19
36284,-1,retest,0.111,partial,True,82.25
36342,-1,retest,0.111,partial,True,80.24
36367,-1,retest,0.111,partial,True,80.56
36438,-1,retest,0.111,partial,True,68.72
36448,-1,retest,0.111,partial,True,84.59
36455,-1,retest,0.111,partial,True,90.6
36497,-1,retest,0.111,partial,True,70.84
36509,-1,retest,0.111,partial,True,92.89
36525,1,retest,-0.111,conflict,True,81.28
36579,1,retest,-0.556,conflict,True,94.32
36617,-1,retest,0.556,partial,True,69.39
36628,-1,retest,0.556,partial,True,79.64
36654,1,retest,-0.556,conflict,True,88.18
36701,-1,retest,0.556,partial,True,86.76
36716,1,retest,-0.556,conflict,True,84.1
36756,1,retest,-0.556,conflict,True,65.77
36822,1,retest,-0.556,conflict,True,80.04
36832,1,retest,-0.556,conflict,True,84.19
36847,-1,retest,0.556,partial,True,89.52
36903,1,retest,-0.556,conflict,True,81.36
36950,-1,retest,0.556,partial,True,72.63
37072,-1,retest,1.0,full,True,82.15
37146,-1,retest,1.0,full,True,82.06
37172,1,retest,-1.0,conflict,True,79.18
37200,-1,retest,1.0,full,True,93.14
37205,-1,retest,1.0,full,True,91.53
37215,-1,retest,1.0,full,True,92.05
37261,-1,retest,1.0,full,True,82.93
37334,-1,retest,1.0,full,True,94.07
37426,1,retest,-1.0,conflict,True,72.04
37552,-1,retest,0.556,partial,True,78.17
37566,1,retest,-0.556,conflict,True,92.24
37601,-1,retest,1.0,full,True,79.34
37610,-1,retest,1.0,full,True,79.86
37674,-1,retest,1.0,full,True,78.02
37739,-1,retest,1.0,full,True,80.95
